    ANO;MES;R.GLOBAL;  INSOLACAO;PRECIPITACAO;UMIDADE.RELATIVA;  VENTO.MAXIMO; VENTO.MEDIO; TEMPER.MAX; TEMPER.MIN; TEMPER.MEDIA; EVAPORACAO
1986;OUT;465;8,7;52,9;64;8,8;10,4;29,8;16,1;23;6,41
1987;OUT;398;6,8;67;67;10,2;10,3;29,4;16,7;23;5,8
1988;OUT;342;6,1;196,9;63;11,5;11,3;28,6;15,3;22;4,98
1989;OUT;466;8,6;46,3;58;11,5;11,5;28,6;12,9;20,8;6,51
1990;OUT;412;7,3;125,4;71;11;9,7;30,5;16,9;23,7;6,33
1991;OUT;394;6,9;70,5;69;8,8;9,3;29,4;16,3;22,9;5,89
1992;OUT;377;6,3;242,1;78;8,8;9,8;28,9;15,5;22,2;5,25
1993;OUT;418;7;73,4;77;8,1;8,8;30,2;17,1;23,7;5,59
1994;OUT;417;6,3;126,8;73;11,7;11,3;32,2;18,4;25,3;6,85
1995;OUT;392;6,4;190,2;76;10,9;9,7;28,3;15,8;22,1;5,28
1996;OUT;409;6,9;238,5;80;10,7;8,8;29,4;16,8;23,1;5,73
1997;OUT;409;6,4;62,8;77;9,2;9,2;29,4;17,3;23,3;5,61
1998;OUT;369;5,4;183,1;83;9,9;9,2;27,1;16,3;21,7;4,7
1999;OUT;454;7;28,5;73;9,7;11;28,5;15,4;21,9;5,08
2000;OUT;480;7,2;114,2;69;10,4;7,9;32,1;18;25;5,73
2001;OUT;496;7,9;173,3;69;8,8;7,7;29,5;16,1;22,8;5,42
2002;OUT;431;7,4;49,4;54;8,6;8,7;33,8;18,8;26,3;6,57
2003;OUT;423;6,3;89,2;74;8,9;9,5;30;16,3;23,1;5,78
2004;OUT;375;4,7;156,9;81;9,1;8,1;27,4;16,1;21,7;4,57
2005;OUT;364;4,5;120,4;81;8,6;7,1;30,4;18,3;24,3;4,81
2006;OUT;452;6,6;80,3;80;7,5;8,1;29,6;17;23,3;5,36
2007;OUT;467;6,9;92,6;71;8,5;8,3;32,4;17,3;24,9;6,41
2008;OUT;445;5,9;108,7;75;9,9;8,3;29,5;17,6;23,5;5,1
2009;OUT;467;6,6;56,7;76;10,7;8;28,6;17,1;22,8;4,71
2010;OUT;486;7,4;87,4;68;10,3;8;28,6;15,4;22;5,68
2011;OUT;476;7,2;203,1;70;11,7;8,6;29,4;16,9;23,2;6,2
2012;OUT;496;8,2;76,2;65;9,7;7,3;32,6;17,9;25,3;6,14
2013;OUT;510;7,8;153,6;71;9,6;8,5;29,9;16,8;23,3;5,58
2014;OUT;592;9,7;20,1;55;10,8;8,9;32,5;16,7;26,6;8,82
2015;OUT;531;8,4;94,4;73;10;7,1;32,1;18,7;25,4;7,76
2016;OUT;490;7,8;103,1;73;10,7;9,4;29,9;17,1;23,5;5,8
2017;OUT;423;6,4;80,5;71;10;8;30,3;17,3;23,8;5,33
2018;OUT;441;6,8;154,4;77;10,1;8,3;28,9;16,9;22,9;4,65
2019;OUT;;;;;;;;;;
1917;NOV;;;19,8;;;;29,1;12,4;20,8;
1918;NOV;;;125,9;;;;28,7;16,4;22,5;
1919;NOV;;;142;;;;29,1;18,2;23,7;
1920;NOV;;;217,6;;;;28,6;17,3;22,9;
1921;NOV;;14,7;37,7;;;;30,1;15,4;22,7;
1922;NOV;;12,7;109,7;;;;28,6;16;22,3;
1923;NOV;;12,7;60,7;;;;29,1;16,3;22,7;
1924;NOV;;13,3;128,4;;;;28,8;15,5;22,1;
1925;NOV;;11,3;230,3;;;;28,6;17,3;22,9;
1926;NOV;;8,1;74,4;;;;30,1;16,7;23,4;
1927;NOV;;8,6;48,8;;;;30,2;16,8;23,5;
1928;NOV;;8,7;83,2;;;;30,7;17,2;24;
1929;NOV;;7,1;99,2;;;;29;15,4;22,2;
1930;NOV;;7,7;108;;;;29,2;16,4;22,8;
1931;NOV;;6,1;214;;;;28,1;16,5;22,3;
1932;NOV;;7,3;174,8;;;;29,2;17,3;23,3;
1933;NOV;;7,4;40,1;;;;29;14,2;21,6;
1934;NOV;;7,9;122,9;;;;31,8;17,4;24,6;
1935;NOV;;7,5;82;;;;29,9;16,1;23;
1936;NOV;;7,9;86,8;;;;30;16,8;23,4;
1937;NOV;;7;121,8;;;;29;16,4;22,7;
1938;NOV;;8,3;129,6;;;;30,4;17,2;23,8;
1939;NOV;;4,6;198,9;;;;29,2;18,2;23,7;
1940;NOV;;6,2;196,1;;;;29,5;17,5;23,5;
1941;NOV;;5,2;217;;;;28,8;17,7;23,3;
1942;NOV;;6,7;171,3;;;;30,7;16,2;23,5;
1943;NOV;;6,9;163,3;67;;7,2;29,9;16,5;23,2;3,49
1944;NOV;;5,4;260,1;70;;7;28,6;16,2;22,4;3,03
1945;NOV;;5,3;232,9;73;;10,4;27,6;17,2;22,4;3,21
1946;NOV;;8,1;133,4;63;;7,3;30,1;16,9;23,5;4,46
1947;NOV;;7,6;114,6;64;;9,3;28,3;15,2;21,7;4,25
1948;NOV;;6,4;147;68;;9,6;28,4;16,8;22,6;3,52
1949;NOV;;7,4;45,1;58;;8;30,5;14,9;22,7;5,59
1950;NOV;;6;179,8;71;;7,5;27,6;16,1;21,8;3,34
1951;NOV;;2,4;222,6;70;;6,4;29,2;17,3;23,3;4,06
1952;NOV;;6,9;117,9;66;;6,9;29,1;16,9;23;4,22
1953;NOV;;6,3;82,3;67;;5,7;29,3;16,3;22,8;3,59
1954;NOV;;8,9;39,7;57;;7,4;34,2;15,1;24,6;5,82
1955;NOV;;7,3;127,6;62;;9,6;28,1;14,1;21,1;4,54
1956;NOV;;9,1;23,1;57;;13;28,6;14;21,3;7,02
1957;NOV;;7;57,1;69;;8,4;28,5;16,2;22,3;4,54
1958;NOV;;8,3;124,5;64;;7,3;30,8;16,6;23,7;5,59
1959;NOV;;5,8;246,7;69;;9,3;29,4;16,5;23;4,57
1960;NOV;;5,9;93,7;73;;9;28,6;17,2;22,9;3,54
1961;NOV;;7,9;138,3;70;;8,8;30,9;17,8;24,4;5,06
1962;NOV;;8,2;97,3;66;;6,5;29,4;15,6;22,5;5,91
1963;NOV;;7;163,4;64;;6,7;31,5;18,4;25;5,62
1964;NOV;;7,4;52,7;65;;11,2;27,9;15,1;21,5;4,57
1965;NOV;;7,1;99,1;71;;11,5;29,7;16,8;23,3;4,48
1966;NOV;;8,6;85,2;62;;11,6;29,6;16,4;23;4,79
1967;NOV;;6,4;77,5;71;;10,3;28,7;16,6;22,7;4,3
1968;NOV;;7,1;62,8;62;;18,9;31,7;17,4;24,6;7,3
1969;NOV;;4,9;212,7;81;;14,8;28,4;17,6;23;3,58
1970;NOV;;6,9;83,9;66;;16,5;28,6;14,8;21,7;4,98
1971;NOV;;;34,2;;;;;;;
1972;NOV;;;122,8;;;;25;13,6;17,2;
1973;NOV;;;121,7;67;;;;;;
1974;NOV;;8;168,4;;;;30,6;17;23,8;
1975;NOV;;4,3;236,8;78;;;27,8;17,4;22,6;
1976;NOV;;6,7;127,4;75;;;29,1;17,6;23,4;
1977;NOV;;5,3;134,8;79;;9,4;30;17,3;23,6;
1978;NOV;446;6,4;138,9;77;;11;28,7;16,5;22,6;
1979;NOV;365;6,4;102,8;74;;11,4;28,8;16,5;22,6;
1980;NOV;395;6,9;145,2;84;11,7;10,8;27,4;15,9;20,9;
1981;NOV;592;6,5;167,2;77;10,5;9,6;30,2;18,3;24,3;6,79
1982;NOV;590;6,1;210,2;78;11,8;9,4;30,3;18,8;24,6;6,28
1983;NOV;639;7,8;88,4;66;10,3;9;29,5;16,9;23,2;6,82
1984;NOV;535;7,3;201,1;73;11,5;10,2;31;18,1;24,5;7,39
1985;NOV;557;8,1;134,3;61;11,1;11,1;32,2;17,2;24,7;9,22
1986;NOV;423;6,8;110,4;66;10,2;11,4;31;18,1;24,6;6,76
1987;NOV;470;8,4;113,3;67;10,2;10,6;31;17,3;24,2;7,71
1988;NOV;409;8;86;62;11,3;12,4;29,2;15,9;22,5;6,46
1989;NOV;445;7,4;99,9;63;11,4;10,4;29,2;16,3;22,7;6,91
1990;NOV;454;8;124,4;73;11,7;8,5;32,3;19,1;25,7;6,67
1991;NOV;483;8,6;56,8;68;9,6;10,3;31,4;17,5;24,5;7,38
1992;NOV;407;6,2;232,3;78;8,2;9,7;29,5;16,6;23;5,32
1993;NOV;488;8,5;91,6;74;9,8;9,4;32,2;18,3;25,3;7,11
1994;NOV;473;7,6;249,2;74;10,6;10,6;30,7;18,6;24,6;6,78
1995;NOV;480;8,1;156,3;72;10,6;9,6;30,1;17,3;23,7;6,38
1996;NOV;408;6,2;212;80;9,8;9,4;29,1;17,8;23,4;5,91
1997;NOV;427;5,6;269,4;82;8,9;7,7;30,3;19,5;24,9;6,18
1998;NOV;474;7,8;26,6;77;9,7;9,3;30;16,5;23,2;6,11
1999;NOV;480;7;52,1;72;9,2;9,6;29,5;15,7;22,6;5,73
2000;NOV;465;6,8;239,2;77;10,3;7,6;29,8;17,7;23,8;5,76
2001;NOV;466;6,7;152,4;68;9,4;7,7;30,7;18,7;24,7;6,34
2002;NOV;432;5,7;176,5;81;9,9;9,7;30,6;18,8;24,7;6,07
2003;NOV;438;6;168;78;9,2;9,6;29,5;17,7;23,6;5,57
2004;NOV;460;5,3;105,9;78;8,5;8,2;29,2;17,6;23,4;5,52
2005;NOV;442;5,8;117,8;80;8,7;9;29,5;17,1;23,3;5,42
2006;NOV;478;6,5;200,2;80;9,5;9,1;30,4;17,8;24,1;5,72
2007;NOV;462;6,1;120,3;82;9,6;8,6;28,8;17,4;23,1;5,44
2008;NOV;522;7,4;24,3;75;10,8;8,6;30,1;17,6;23,9;5,46
2009;NOV;501;6,9;196,5;74;11,1;7,2;31,7;20,1;25,9;6,42
2010;NOV;525;7,5;39,9;66;10,9;7,5;30,5;17,5;24;6,16
2011;NOV;555;8,7;157,1;69;10;7,9;29,2;16,4;22,8;5,95
2012;NOV;548;8,3;100,2;71;10,2;7,7;30,6;18;24,3;5,81
2013;NOV;524;7,5;109,9;72;9,8;8,2;30,5;18,6;24,6;6,23
2014;NOV;505;6,7;159;73;9,8;7,9;30,7;19,1;24,9;6,14
2015;NOV;420;5;251,5;85;10;5,6;30,5;20,7;25,6;6,04
2016;NOV;498;7,1;190,5;75;10,4;9,1;29,6;17,7;23,6;6,35
2017;NOV;514;7,4;235,7;73;10,6;8,7;29,6;16,9;23,3;5,55
2018;NOV;446;5,4;241,2;76;10,9;9,1;29,3;17,6;23,5;5,71
1917;DEZ;;;194,3;;;;29;16;22,5;
1918;DEZ;;;127,2;;;;29,2;17,2;23,2;
1919;DEZ;;;102,4;;;;30,2;18,5;24,4;
1920;DEZ;;;161,6;;;;29,1;17,7;23,4;
1921;DEZ;;12,3;180,6;;;;30,3;18;24,2;
1922;DEZ;;11,9;105,6;;;;29,2;17,3;23,2;
1923;DEZ;;13,4;125,5;;;;32,3;18,8;25,6;
1924;DEZ;;11,2;231,8;;;;29,1;17,9;23,5;
1925;DEZ;;11,6;159,4;;;;30;18,3;24,2;
1926;DEZ;;4,8;360,8;;;;28;18,8;23,4;
1927;DEZ;;7,8;109,5;;;;29,4;16,8;23,1;
1928;DEZ;;5,7;272;;;;29,6;18,7;24,1;
1929;DEZ;;5,7;303;;;;30,1;19,3;24,7;
1930;DEZ;;4,9;328,6;;;;28,2;18,3;23,3;
1931;DEZ;;6,8;149,1;;;;29,8;18,2;24;
1932;DEZ;;5,6;336,4;;;;28,8;19,1;23,9;
1933;DEZ;;4,6;302;;;;28,9;17,2;23;
1934;DEZ;;4,7;415,9;;;;28,2;19,1;23,6;
1935;DEZ;;7,4;184,7;;;;31,4;19,5;25,4;
1936;DEZ;;5,3;293,6;;;;30,2;19,7;24,9;
1937;DEZ;;6,6;141,8;;;;28,3;17,4;22,8;
1938;DEZ;;6,1;209,6;;;;29;18,7;23,9;
1939;DEZ;;5,9;259;;;;29,3;19,1;24,2;
1940;DEZ;;7,1;198;;;;32,5;20,5;26,5;
1941;DEZ;;5,4;186,6;;;;29,3;18,3;23,8;
1942;DEZ;;5,1;201,1;;;;28;17,2;22,6;
1943;DEZ;;5,3;359,9;73;;6,2;28,7;16,9;22,8;2,57
1944;DEZ;;8,2;158,7;61;;7,8;31,5;16,8;24,2;3,96
1945;DEZ;;8,9;162,7;75;;10,4;27,9;17;22,5;3,29
1946;DEZ;;4,7;82;70;;7,3;29,7;18,1;23,9;4,08
1947;DEZ;;5,4;219,6;74;;7,8;27,8;17,3;22,6;2,82
1948;DEZ;;8,7;109;63;;6,7;30,4;16,9;23,6;3,58
1949;DEZ;;5,1;420,5;70;;7,4;28,3;18,2;23,2;0,96
1950;DEZ;;6,3;134;75;;8;29;17,4;23,2;2,77
1951;DEZ;;7,4;91;74;;5,9;28,2;16,9;22,5;2,94
1952;DEZ;;9,6;153,6;58;;5,4;30,7;16,9;23,8;5,42
1953;DEZ;;7,2;152,4;68;;5,1;31,1;17,3;24,2;3,19
1954;DEZ;;5,6;193;68;;7,2;30,1;16,9;23,5;3,74
1955;DEZ;;5,4;197,3;72;;8,6;29,4;18,3;23,9;4,43
1956;DEZ;;8,1;137;63;;10,1;29,7;16,7;23,2;6,27
1957;DEZ;;7,3;197,3;72;;8,5;29,9;18,2;24,1;4,04
1958;DEZ;;7,1;151,2;69;;6,8;31,1;18,6;24,8;4,14
1959;DEZ;;7,8;191,1;71;;8,5;31;18,1;24,5;4,44
1960;DEZ;;6,5;314,2;71;;8,8;29,4;17,8;23,6;4,7
1961;DEZ;;5,5;157,9;76;;7,7;28,6;18;23,3;4,01
1962;DEZ;;6,2;201,6;78;;4,9;28,6;18,4;23,5;3,83
1963;DEZ;;9;148,4;64;;8,9;31,3;17,7;24,5;5,28
1964;DEZ;;4,9;268,4;75;;9,2;27,6;17,5;22,6;2,93
1965;DEZ;;2,7;292;78;;8,4;29;19,6;24,3;3,37
1966;DEZ;;7,1;225,4;70;;10,4;30,4;18,9;24,6;4,34
1967;DEZ;;5,3;154,9;75;;13;27,6;16,9;22,2;3,62
1968;DEZ;;7,8;235,5;73;;15,3;30,2;18,6;24,4;4,46
1969;DEZ;;7,8;198,9;74;;16,3;28,8;16,3;22,6;4,54
1970;DEZ;;6,7;138,8;70;;13,1;31,2;18,9;25;5,37
1971;DEZ;;;178,7;;;;;;;
1972;DEZ;;;91,8;;;;;;;
1973;DEZ;;;328,6;80;;;;;;
1974;DEZ;;3,4;247,7;82;;;27,2;18,9;23,1;
1975;DEZ;;5,7;315,1;77;;;30;17,8;23,9;
1976;DEZ;;4,2;191,4;83;;;28,5;19,2;23,8;
1977;DEZ;;5,3;238,1;80;;10,2;28;16,2;22,1;
1978;DEZ;475;6,6;96,6;75;;10,4;29,4;16,8;23,1;
1979;DEZ;328;3,9;105,7;81;;9,8;30,2;19;24,6;
1980;DEZ;394;6,5;185,1;91;11,6;9,6;28,2;18,4;22,5;
1981;DEZ;513;4,4;211,2;78;9,8;10,4;29;18,4;23,6;6,64
1982;DEZ;481;3,5;215;85;9,8;9,1;28;18,4;23,2;7,25
1983;DEZ;546;4,6;161,4;78;10,9;9,4;29,5;18,9;24,2;7,04
1984;DEZ;487;5,6;196;79;10,7;9,3;29,4;18,1;23,7;6,14
1985;DEZ;588;7,6;71,7;66;10,4;10,6;31,9;18,1;25;7,37
1986;DEZ;365;4;282,3;83;12;9;29,2;19,4;24,3;5,36
1987;DEZ;443;7,2;190,5;73;11;10,5;30,6;18,6;24,6;7,24
1988;DEZ;368;7,1;200,4;65;10;9,5;30,1;17,9;24;6,29
1989;DEZ;418;6,9;195,1;66;11,5;11,5;29,7;17,7;23,7;6,51
1990;DEZ;458;7,4;61,1;72;10,5;9,9;31,5;18,3;24,9;6,48
1991;DEZ;409;6;194,5;81;11,5;8,7;30,4;19,1;24,7;5,83
1992;DEZ;475;8,2;142,2;74;7,4;9,1;30,2;16,8;23,5;6,67
1993;DEZ;412;5,9;146,4;83;8,9;9,3;30,2;19,5;24,8;5,88
1994;DEZ;483;7,2;260,8;80;10;8,4;31,7;19,9;25,8;6,69
1995;DEZ;433;6,7;222,2;78;10;9,2;30,1;18,8;24,5;6,38
1996;DEZ;412;6;188,3;85;11,7;7;30,6;19,8;25,2;5,72
1997;DEZ;479;6,7;186,7;80;9,3;7;31,1;19,7;25,4;6,09
1998;DEZ;441;6,1;292,6;82;8,7;6,3;30;19,2;24,6;5,91
1999;DEZ;508;7,2;269,9;78;9,9;8;30,6;19;24,8;6,13
2000;DEZ;448;5,6;196,2;81;9,1;6,9;29,8;19;24,4;5,72
2001;DEZ;427;5,4;204,2;83;9,2;7,1;29,2;18,7;24;5,62
2002;DEZ;461;6;166,1;86;9,4;7,9;31,2;19,7;25,4;5,83
2003;DEZ;456;6,4;139,9;84;8,8;8,1;30,4;19,4;24,9;6,06
2004;DEZ;438;5,4;99,8;83;8,4;6,7;29,5;18,2;23,8;5,01
2005;DEZ;451;5,3;127,1;82;8,7;8,8;29,5;17,8;23,7;5,11
2006;DEZ;489;6;251,7;89;9,7;7,2;30,1;19,8;25;5,13
2007;DEZ;527;7,5;188,6;81;8,7;6,9;30,8;18,8;24,8;5,99
2008;DEZ;532;7,3;153;78;10,2;7,3;30,2;17,9;24;5,34
2009;DEZ;460;5,5;274,3;79;10,5;6,3;29,5;19,7;24,6;4,86
2010;DEZ;482;6,3;244,1;76;10,7;7;30,7;19,9;25,3;6,1
2011;DEZ;582;8,5;176,1;73;9,8;6,5;30,5;18,4;24,5;5,94
2012;DEZ;554;7,9;192,9;80;10,7;5,6;32,9;21,1;27;5,82
2013;DEZ;580;8,8;121;71;10,4;7,8;32,5;20,2;26,4;6,94
2014;DEZ;546;8;256,9;77;10,7;6,3;32,5;20,5;26,5;6,41
2015;DEZ;515;5,9;246,8;84;10,5;5,2;32,5;21,7;27,1;6,78
2016;DEZ;538;7,3;190,6;76;12,2;7,9;31,4;19,2;25,3;6,57
2017;DEZ;488;6,9;148,6;76;10,6;7,7;31;19,4;25,2;6,59
2018;DEZ;583;8,5;52,2;69;9,9;7,9;32,3;18,5;25,4;6,82
